voter_id,candidate
VOTER-1001,Alice
VOTER-1002,Bob
VOTER-1003,Alice
VOTER-1004,Charlie
VOTER-1005,Bob
VOTER-1006,Alice
VOTER-1007,Charlie
VOTER-1008,Alice
VOTER-1009,Bob
VOTER-1010,Alice
VOTER-1011,Charlie
VOTER-1012,Bob
VOTER-1013,Alice
VOTER-1014,Bob
VOTER-1015,Alice
VOTER-1016,Charlie
VOTER-1017,Bob
VOTER-1018,Alice
VOTER-1019,Bob
VOTER-1020,Charlie
VOTER-1021,Alice
VOTER-1022,Bob
VOTER-1023,Alice
VOTER-1024,Charlie
VOTER-1025,Bob
VOTER-1026,Alice
VOTER-1027,Bob
VOTER-1028,Charlie
VOTER-1029,Alice
VOTER-1030,Bob
VOTER-1031,Alice
VOTER-1032,Charlie
VOTER-1033,Bob
VOTER-1034,Alice
VOTER-1035,Bob
VOTER-1036,Charlie
VOTER-1037,Alice
VOTER-1038,Bob
VOTER-1039,Alice
VOTER-1040,Charlie
VOTER-1041,Bob
VOTER-1042,Alice
VOTER-1043,Bob
VOTER-1044,Charlie
VOTER-1045,Alice
VOTER-1046,Bob
VOTER-1047,Alice
VOTER-1048,Charlie
VOTER-1049,Bob
VOTER-1050,Alice
